levy,manufacturer,model,prod,category,leather,fuel,engine,mileage,cylinders,gear,drive,doors,wheel,color,airbags,price,turbo
1288.0,MERCEDES-BENZ,Vito,2007,Goods wagon,0,Diesel,2.0,180000,6,Manual,Rear,4,left,White,4,15681,1
915.0,PORSCHE,Cayenne,2014,Jeep,1,Diesel,3.0,175056,6,Automatic,4x4,4,left,White,12,19444,0
,BMW,X5,2000,Jeep,1,CNG,4.4,200000,8,Automatic,4x4,4,left,Silver,6,6899,0
1750.0,TOYOTA,Highlander,2008,Sedan,1,Hybrid,3.3,287274,6,Automatic,4x4,4,left,White,12,125,0
,JEEP,Grand Cherokee,2007,Jeep,1,Diesel,3.0,250000,6,Tiptronic,4x4,4,left,Black,10,24462,1
707.0,HYUNDAI,Santa FE,2011,Jeep,1,Diesel,2.0,162000,4,Automatic,Front,4,left,Grey,4,23235,0
1077.0,TOYOTA,CHR Limited,2019,Jeep,0,Petrol,2.0,10200,4,Tiptronic,Front,4,left,Red,12,51746,0
1486.0,HONDA,FIT,2010,Hatchback,0,Hybrid,1.3,158000,4,Automatic,Front,4,right,Black,4,7527,0
531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,103490,4,Automatic,Front,4,left,Silver,4,19121,0
1399.0,LEXUS,RX 450,2010,Jeep,1,Hybrid,3.5,382746,6,Automatic,4x4,4,left,Silver,12,314,0
751.0,TOYOTA,Camry,2013,Sedan,1,Petrol,2.4,203200,4,Automatic,Front,4,left,Blue,4,24462,0
1091.0,HYUNDAI,H1,2016,Universal,1,Diesel,2.5,61057,4,Automatic,Front,4,left,Black,4,45734,0
650.0,VOLKSWAGEN,Jetta,2016,Sedan,1,Petrol,1.4,11200,4,Tiptronic,Front,4,left,Black,8,20165,1
382.0,HYUNDAI,Sonata,2014,Sedan,1,Hybrid,2.4,141000,4,Tiptronic,Front,4,left,White,12,21326,0
1436.0,PORSCHE,Cayenne,2010,Jeep,1,Petrol,3.6,160259,6,Automatic,4x4,4,left,Silver,12,549,0
1194.0,TOYOTA,Tacoma,2013,Jeep,1,Petrol,4.0,239342,6,Automatic,4x4,4,left,Silver,12,220,0
503.0,TOYOTA,Prius C,2012,Hatchback,0,Hybrid,1.5,128000,4,Variator,Front,4,left,Sky blue,8,15681,0
1017.0,HYUNDAI,Santa FE,2017,Jeep,1,Diesel,2.0,100734,4,Automatic,Front,4,left,Black,4,55390,0
,TOYOTA,Aqua,2012,Hatchback,0,Hybrid,1.5,141500,4,Automatic,Front,4,right,Black,8,12544,0
,FORD,Escape Hybrid,2008,Jeep,0,Hybrid,2.3,147000,4,Variator,4x4,4,left,White,8,17249,0
891.0,HONDA,Civic,2016,Sedan,1,Petrol,2.0,87768,4,Automatic,Front,4,left,Blue,4,34889,0
1104.0,AUDI,Q7,2015,Jeep,1,Petrol,3.0,264014,6,Automatic,4x4,4,left,Black,0,862,0
,RENAULT,Megane 1.5CDI,2008,Sedan,0,Diesel,1.5,132542,4,Manual,Front,4,left,White,10,14583,1
1017.0,MERCEDES-BENZ,E 300,2017,Sedan,1,Petrol,2.0,1600,4,Automatic,Rear,4,left,Black,12,392,0
639.0,AUDI,Q5,2014,Jeep,1,Petrol,2.0,87000,1,Tiptronic,4x4,4,left,White,12,38500,0
,MERCEDES-BENZ,C 180,2001,Coupe,0,Petrol,2.0,260000,4,Manual,Rear,2,left,Blue,0,8781,0
,MERCEDES-BENZ,GLA 250,2019,Jeep,1,Petrol,2.0,5323,4,Tiptronic,4x4,4,left,Grey,0,87112,1
629.0,NISSAN,Juke,2015,Jeep,1,Petrol,1.6,87112,4,Automatic,4x4,4,left,Black,0,1411,0
919.0,BMW,535,2012,Sedan,1,Petrol,3.0,204318,6,Automatic,Rear,4,left,Black,12,392,0
781.0,CHEVROLET,Cruze LT,2018,Sedan,0,Petrol,1.4,22000,4,Automatic,Front,4,left,Red,6,23521,1
530.0,FORD,Fusion,2013,Sedan,0,Petrol,1.6,83000,4,Tiptronic,Front,4,left,Silver,8,16935,1
,TOYOTA,VOXY,2007,Minivan,1,Petrol,2.4,170000,4,Automatic,Front,4,right,Black,6,10349,0
530.0,NISSAN,Juke,2013,Jeep,1,Petrol,1.6,312118,4,Automatic,Front,4,left,Black,0,7213,0
,MERCEDES-BENZ,A 160,2004,Sedan,0,Petrol,1.6,130000,4,Tiptronic,Front,4,left,Black,6,5331,0
640.0,HYUNDAI,Tucson,2013,Jeep,1,Diesel,2.0,200279,4,Automatic,Front,4,left,Grey,4,20526,0
765.0,HYUNDAI,Sonata,2015,Sedan,1,LPG,2.0,719847,4,Automatic,Front,4,left,Orange,4,9722,0
777.0,HYUNDAI,H1,2014,Minivan,1,Diesel,2.5,154672,4,Automatic,Front,4,left,Silver,4,34657,0
1091.0,HYUNDAI,H1,2016,Minivan,1,Diesel,2.5,110969,4,Automatic,Front,4,left,Black,4,36564,0
779.0,TOYOTA,Camry,2013,Sedan,1,Hybrid,2.5,225510,4,Automatic,Front,4,left,White,12,314,0
,TOYOTA,Vitz,2001,Hatchback,0,Petrol,1.5,210000,4,Manual,Front,4,right,Sky blue,3,5488,0
934.0,HYUNDAI,H1,2015,Universal,1,Diesel,2.5,148105,4,Automatic,Front,4,left,Silver,4,30063,0
769.0,CHEVROLET,Captiva,2011,Jeep,1,Diesel,2.2,255456,4,Automatic,Front,4,left,Silver,4,15800,0
1249.0,HYUNDAI,H1,2017,Universal,1,Diesel,2.5,111643,4,Automatic,Front,4,left,Grey,4,43952,0
891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,84506,4,Automatic,Front,4,left,Silver,4,53154,0
645.0,TOYOTA,Prius,2011,Hatchback,0,Hybrid,1.8,288000,4,Automatic,Front,4,left,White,8,14740,0
,FORD,Mustang,2016,Cabriolet,1,Petrol,2.3,75000,4,Tiptronic,Rear,2,left,Silver,6,42337,1
1053.0,MERCEDES-BENZ,ML 350,2014,Jeep,1,Petrol,3.5,94362,6,Automatic,Rear,4,left,White,12,3763,0
,TOYOTA,Prius,2012,Sedan,0,Petrol,1.8,175000,4,Automatic,Front,4,left,Silver,8,18189,0
2456.0,LEXUS,GX 470,2008,Jeep,1,Petrol,4.7,263190,8,Automatic,4x4,4,left,White,0,862,0
1185.0,FORD,Escape,2009,Jeep,1,Hybrid,2.5,193614,4,Automatic,Front,4,left,White,0,220,0
1324.0,TOYOTA,Highlander,2010,Jeep,1,Hybrid,3.3,264877,6,Automatic,4x4,4,left,White,12,5645,0
830.0,TOYOTA,Yaris,2019,Sedan,1,Petrol,1.5,27656,4,Automatic,Front,4,left,White,12,7527,0
1187.0,HONDA,Civic,2014,Sedan,0,Hybrid,1.4,16000,8,Automatic,4x4,4,right,White,10,21953,0
,HONDA,Cr-v,1998,Jeep,0,Petrol,2.0,0,4,Automatic,4x4,4,right,White,2,8154,0
781.0,TOYOTA,Camry,2012,Sedan,0,Petrol,2.5,195053,4,Automatic,Front,4,left,Black,0,21953,0
531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,121362,4,Automatic,Front,4,left,Black,4,19121,0
639.0,HYUNDAI,Santa FE,2014,Jeep,1,Diesel,2.0,69191,4,Automatic,Front,4,left,White,4,36065,0
1111.0,HONDA,FIT,2012,Hatchback,1,Hybrid,1.3,83000,4,Tiptronic,Front,4,right,Green,12,8781,0
760.0,CHEVROLET,Cruze,2010,Sedan,1,Petrol,1.8,40772,4,Automatic,Front,4,left,Black,4,6247,0
642.0,CHEVROLET,Orlando,2012,Jeep,1,Diesel,2.0,172000,4,Automatic,Front,4,left,Grey,4,16289,0
1604.0,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,1,Petrol,5.5,433811,8,Automatic,4x4,4,left,Black,10,77775,0
,BMW,520 Vanos,1995,Sedan,1,Petrol,2.0,350000,6,Manual,Rear,4,left,Blue,2,2822,0
781.0,SUBARU,Forester,2012,Jeep,1,Petrol,2.5,148213,4,Automatic,4x4,4,left,Blue,0,549,0
1095.0,DAEWOO,Lacetti,2008,Sedan,1,Petrol,2.0,103246,4,Automatic,Front,4,left,Black,4,6981,0
891.0,HYUNDAI,Elantra,2016,Sedan,0,Petrol,2.0,105394,4,Tiptronic,Front,4,left,Black,12,27284,0
,BMW,428 Sport Line,2013,Coupe,1,Petrol,2.0,160000,4,Automatic,Rear,2,left,Black,12,32929,1
,NISSAN,Patrol,1990,Jeep,0,Diesel,2.8,333333,4,Manual,Rear,4,left,Black,0,18817,1
,HONDA,Civic,1997,Hatchback,1,Petrol,1.4,0,4,Manual,Front,2,left,Blue,6,4234,0
,MERCEDES-BENZ,E 320,2004,Sedan,1,Petrol,3.2,214000,6,Tiptronic,Rear,4,left,Grey,8,15053,0
966.0,HYUNDAI,Genesis,2009,Coupe,1,Petrol,2.0,123346,4,Automatic,Front,4,left,Black,4,15458,0
473.0,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,80827,4,Automatic,Front,4,left,Green,12,2901,0
1138.0,PORSCHE,911,2013,Coupe,1,Petrol,3.8,64464,6,Automatic,Rear,2,left,Black,12,706,0
382.0,FORD,Fusion,2015,Sedan,1,Hybrid,2.0,91760,4,Automatic,Front,4,left,Black,12,314,0
1811.0,LEXUS,GX 460,2010,Jeep,1,Petrol,4.6,275240,8,Automatic,4x4,4,left,Silver,0,15681,0
,MERCEDES-BENZ,Sprinter,2004,Microbus,0,Diesel,2.2,300000,4,Manual,Rear,4,left,White,1,26657,1
988.0,TOYOTA,Prius,2007,Hatchback,0,Petrol,1.5,318400,4,Automatic,Front,4,left,Silver,6,10663,0
765.0,FORD,Focus SE,2015,Sedan,0,Petrol,2.0,91200,4,Automatic,Front,4,left,Sky blue,10,12858,0
917.0,BMW,X5,2013,Jeep,1,Diesel,3.0,137802,6,Automatic,4x4,4,left,Black,12,1019,0
917.0,BMW,535,2013,Sedan,1,Hybrid,3.0,151586,6,Automatic,Rear,4,left,White,12,549,0
,KIA,Picanto,2016,Hatchback,0,Petrol,1.2,107000,4,Manual,Front,4,left,Silver,2,12858,0
,BMW,328,2008,Sedan,1,CNG,3.0,210408,6,Tiptronic,Rear,4,left,White,12,15000,0
1156.0,FORD,Explorer,2017,Jeep,1,Petrol,2.3,100567,4,Automatic,Front,4,left,Black,4,85553,0
1091.0,HYUNDAI,H1,2016,Universal,1,Diesel,2.5,86000,4,Automatic,Front,4,left,Grey,4,44752,0
687.0,HYUNDAI,Elantra,2010,Sedan,1,Petrol,1.6,122740,4,Automatic,Front,4,left,White,4,17158,0
,MITSUBISHI,Airtrek,2005,Jeep,0,LPG,2.4,144000,4,Tiptronic,4x4,4,right,White,16,12231,0
11710.0,MERCEDES-BENZ,E 500 AMG,2003,Sedan,1,Petrol,5.0,150000,12,Tiptronic,Rear,4,right,White,12,11917,0
,MITSUBISHI,Lancer,1997,Sedan,0,Petrol,1.3,100000,4,Manual,Rear,4,left,Red,0,1254,0
,HONDA,FIT,2003,Hatchback,0,Petrol,1.5,178000,4,Variator,Front,4,right,Silver,4,94,0
640.0,SSANGYONG,Korando,2013,Jeep,1,Diesel,2.0,85704,4,Automatic,Front,4,left,Silver,4,25591,0
836.0,HYUNDAI,Santa FE,2010,Jeep,1,Diesel,2.0,58962,4,Automatic,Front,4,left,White,4,14897,0
779.0,TOYOTA,Camry,2013,Sedan,1,Hybrid,2.5,90000,4,Tiptronic,Front,4,left,White,12,23521,0
,RENAULT,Clio,1995,Hatchback,0,Petrol,1.2,50000,3,Manual,Front,2,left,Green,0,3450,0
777.0,MAZDA,616,2014,Sedan,1,Petrol,2.5,0,4,Automatic,Front,4,left,Red,12,706,0
1537.0,TOYOTA,Highlander,2009,Sedan,1,Hybrid,3.3,318358,6,Automatic,4x4,4,left,Black,12,1019,0
765.0,FORD,Fusion,2015,Sedan,1,Petrol,2.0,71454,4,Automatic,Front,4,left,Black,0,16935,0
781.0,TOYOTA,Camry,2012,Sedan,1,Petrol,2.5,0,4,Tiptronic,Front,4,left,Black,6,19444,0
639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,2.0,346470,4,Automatic,Front,4,left,Silver,4,11604,0
891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,59515,4,Automatic,Front,4,left,Blue,4,51965,0
394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,115312,4,Automatic,Front,4,left,Grey,12,706,0
,MERCEDES-BENZ,C 220,1999,Sedan,0,Diesel,2.2,111111,4,Manual,Rear,4,left,Silver,4,9408,1
1347.0,HYUNDAI,H1,2008,Minivan,1,Diesel,2.5,74444,4,Automatic,Front,4,left,Yellow,4,13328,0
,NISSAN,Serena,2012,Minivan,0,Petrol,2.0,143000,4,Tiptronic,Front,4,right,White,12,17876,0
2866.0,NISSAN,Maxima,2004,Sedan,1,Petrol,3.5,299709,6,Automatic,Front,4,left,Grey,12,549,0
,TOYOTA,RAV 4,2008,Jeep,0,Petrol,2.4,135000,4,Automatic,4x4,4,left,Silver,8,20071,0
862.0,HYUNDAI,H1,2011,Minivan,1,Diesel,2.5,124444,4,Automatic,Front,4,left,Yellow,4,22894,0
503.0,HONDA,Civic,2012,Sedan,1,Hybrid,1.5,146403,4,Automatic,Front,4,left,White,0,2901,0
,MITSUBISHI,Pajero,1997,Jeep,0,Petrol,2.4,142000,4,Automatic,4x4,2,left,Blue,6,15681,0
1811.0,LEXUS,GX 460,2010,Jeep,1,Petrol,4.6,155821,8,Automatic,4x4,4,left,Black,0,39829,0
1646.0,LEXUS,GX 460,2015,Jeep,1,Petrol,4.6,102907,8,Automatic,4x4,4,left,Black,0,706,0
,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,130000,4,Tiptronic,Front,4,left,Black,6,18660,0
1017.0,MERCEDES-BENZ,E 300,2017,Sedan,1,Petrol,2.0,50930,4,Automatic,Rear,4,left,Black,12,22580,0
639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,2.0,264872,4,Automatic,Front,4,left,Silver,4,11604,0
259.0,CHEVROLET,Volt,2014,Hatchback,1,Hybrid,1.4,131893,4,Automatic,Front,4,left,Brown,0,314,0
751.0,GMC,TERRAIN,2013,Jeep,1,Petrol,2.4,138958,4,Automatic,Front,4,left,Black,12,5488,0
,MERCEDES-BENZ,208,1985,Universal,0,Diesel,2.5,1111111,4,Manual,Rear,4,left,Black,1,4300,0
609.0,TOYOTA,Camry,2018,Sedan,1,Hybrid,2.5,35058,4,Automatic,Front,4,left,White,12,18817,0
697.0,HONDA,Hr-v EX,2015,Jeep,0,Petrol,1.8,33330,4,Automatic,4x4,4,left,Grey,8,21169,0
,FIAT,500,2011,Coupe,0,Petrol,1.2,141000,4,Automatic,Front,2,right,Red,4,9095,0
639.0,VOLKSWAGEN,Jetta,2014,Sedan,1,Diesel,2.0,82392,4,Automatic,Front,4,left,Silver,12,1568,0
,SUBARU,Legacy,2005,Goods wagon,0,Petrol,2.0,180000,6,Tiptronic,4x4,4,right,Blue,6,3136,1
585.0,HYUNDAI,Elantra sport limited,2013,Sedan,1,Petrol,1.8,117920,4,Tiptronic,Front,4,left,Grey,12,17876,0
891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,2.0,279787,4,Automatic,Front,4,left,Silver,4,11290,0
1399.0,TOYOTA,Sienna,2010,Minivan,1,Petrol,3.5,227200,6,Tiptronic,Front,4,left,White,16,36065,0
394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,130478,4,Automatic,Front,4,left,White,12,862,0
781.0,HYUNDAI,H1,2012,Universal,1,Diesel,2.5,166144,4,Automatic,Front,4,left,Silver,4,21395,0
891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,2.0,258706,4,Automatic,Front,4,left,Silver,4,15681,0
475.0,CHEVROLET,Volt,2012,Jeep,1,Hybrid,1.4,188419,4,Automatic,Front,4,left,Red,0,627,0
690.0,TOYOTA,Aqua,2016,Hatchback,1,Petrol,1.5,25807,4,Automatic,Front,4,left,Black,4,40070,0
,MERCEDES-BENZ,A 170,2008,Hatchback,0,Petrol,1.7,180000,4,Automatic,Front,4,left,Golden,8,11917,0
1079.0,LEXUS,NX 300,2018,Jeep,1,Petrol,2.0,18918,4,Tiptronic,Front,4,left,Black,6,72130,1
640.0,SSANGYONG,REXTON,2013,Jeep,1,Diesel,2.0,137267,4,Automatic,Front,4,left,Silver,4,35927,0
308.0,TOYOTA,Prius,2014,Sedan,0,Hybrid,1.8,160000,4,Automatic,4x4,4,left,White,4,21012,0
1823.0,TOYOTA,Tacoma,2018,Sedan,1,Petrol,3.5,27358,6,Automatic,Front,4,left,Grey,12,21012,0
1361.0,KIA,Carnival grand,2009,Minivan,1,Diesel,2.9,84176,4,Automatic,Front,4,left,White,6,13172,0
707.0,HYUNDAI,Genesis,2011,Coupe,1,Petrol,2.0,107005,4,Automatic,Front,4,left,Grey,4,15624,0
,OPEL,Vectra,1997,Sedan,0,Petrol,1.6,15000,4,Manual,Front,4,left,Beige,2,4547,0
1273.0,INFINITI,QX60,2015,Jeep,1,Petrol,3.5,124154,6,Automatic,4x4,4,left,Black,12,5488,0
531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,104997,4,Automatic,Front,4,left,White,4,20005,0
924.0,VOLKSWAGEN,Passat,2017,Sedan,1,Petrol,1.8,27728,6,Tiptronic,Front,4,left,Silver,8,36110,0
,MERCEDES-BENZ,E 240 E 240,1998,Sedan,1,Petrol,2.4,777777,6,Manual,Rear,4,left,Blue,4,7840,0
1077.0,MAZDA,1000,2019,Jeep,1,Petrol,2.0,11566,4,Automatic,4x4,4,left,Black,12,470,0
,AUDI,50,2018,Coupe,1,Petrol,0.5,4000,1,Tiptronic,Rear,5,right,Blue,0,1300,0
891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,113700,4,Automatic,Front,4,left,Silver,4,43880,0
584.0,MERCEDES-BENZ,C 250,2014,Sedan,1,Petrol,1.8,69000,4,Tiptronic,Rear,4,left,Grey,8,29479,1
,TOYOTA,Camry,2011,Sedan,1,Hybrid,2.5,152000,4,Variator,Front,4,left,White,12,17249,0
,TOYOTA,Vitz funkargo,2003,Universal,0,Petrol,1.5,181926,4,Automatic,4x4,4,right,Silver,2,9408,0
891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,50255,4,Automatic,Front,4,left,Red,4,44213,0
2078.0,BMW,325,2001,Sedan,1,Petrol,2.5,252800,6,Manual,Rear,4,left,Grey,6,8467,0
915.0,AUDI,A6,2014,Sedan,1,Petrol,3.0,164488,6,Automatic,4x4,4,left,Silver,12,627,0
831.0,FORD,Transit,2011,Goods wagon,0,Diesel,2.4,125000,4,Manual,4x4,4,left,White,2,21950,1
475.0,FIAT,500,2012,Hatchback,1,Petrol,1.4,164574,4,Automatic,Front,4,left,Red,12,706,0
473.0,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,156992,4,Automatic,Front,4,left,Black,12,3136,0
,OPEL,Vectra,1995,Sedan,0,CNG,2.0,0,4,Manual,Front,4,left,White,2,3450,0
,MITSUBISHI,Pajero,1998,Jeep,0,Petrol,3.5,11000,6,Tiptronic,4x4,4,right,Silver,4,9408,1
,NISSAN,Pathfinder,2010,Jeep,1,LPG,4.0,90200,6,Tiptronic,4x4,4,left,Black,12,31500,0
,MITSUBISHI,Delica,2005,Minivan,1,Petrol,3.0,184000,6,Automatic,4x4,4,right,White,12,20385,0
1053.0,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,3.5,149486,6,Automatic,4x4,4,left,Silver,12,314,0
,VOLKSWAGEN,Golf,1996,Sedan,0,CNG,2.0,0,4,Manual,Front,4,left,Green,0,2300,0
,MERCEDES-BENZ,Vaneo,2004,Universal,0,LPG,1.9,170000,4,Tiptronic,Front,4,left,Silver,4,7840,0
,TOYOTA,Camry Se,2018,Sedan,1,Petrol,2.5,25000,4,Tiptronic,Front,4,left,Blue,12,56450,0
639.0,VOLKSWAGEN,Jetta,2014,Universal,1,Diesel,2.0,113214,4,Automatic,Front,4,left,Grey,12,1490,0
836.0,TOYOTA,Tacoma,2012,Sedan,1,Petrol,2.7,394069,4,Automatic,Rear,4,left,Black,12,627,0
1053.0,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,3.5,149486,6,Automatic,4x4,4,left,Silver,12,314,0
,HONDA,Cr-v,2002,Jeep,0,Petrol,2.4,260000,4,Automatic,4x4,4,left,Silver,6,13172,0
,NISSAN,Patrol Y60,1990,Jeep,0,Diesel,2.8,222222,4,Manual,Rear,4,left,Black,0,19757,1
917.0,AUDI,A7,2013,Hatchback,1,Petrol,3.0,301707,6,Automatic,4x4,4,left,Grey,0,4704,0
751.0,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,175827,4,Automatic,Front,4,left,Black,12,706,0
1055.0,MERCEDES-BENZ,E 350,2013,Sedan,1,Diesel,3.5,107800,6,Automatic,Rear,4,left,Grey,12,5802,0
777.0,TOYOTA,Camry,2014,Sedan,0,Petrol,2.5,115200,4,Automatic,Front,4,left,Silver,8,25716,0
642.0,CHEVROLET,Orlando,2012,Jeep,1,LPG,2.0,132036,4,Automatic,Front,4,left,White,4,14426,0
,TOYOTA,RAV 4,2001,Jeep,0,Petrol,2.0,91000,4,Automatic,4x4,2,right,Silver,4,10820,0
1172.0,FORD,Explorer,2011,Jeep,1,Petrol,3.5,129177,4,Automatic,Front,4,left,White,4,45436,0
893.0,HYUNDAI,I30,2008,Hatchback,0,Diesel,1.6,201000,4,Manual,Front,4,left,Black,8,11917,0
765.0,HYUNDAI,Santa FE,2015,Jeep,1,Diesel,2.0,185811,4,Automatic,Front,4,left,Black,4,41281,0
,NISSAN,Altima,1998,Sedan,0,Petrol,2.4,358400,4,Manual,Front,4,left,Brown,2,4391,0
1872.0,PORSCHE,Cayenne,2018,Sedan,1,Petrol,3.6,28968,6,Automatic,4x4,4,left,White,12,3058,0
,ALFA ROMEO,147,2001,Coupe,1,Petrol,1.8,240000,4,Manual,Front,2,left,Black,4,3700,0
,SUZUKI,Grand Vitara,2008,Jeep,0,Petrol,1.6,98000,4,Automatic,4x4,2,left,Black,12,15681,0
645.0,LEXUS,CT 200h,2011,Hatchback,1,Hybrid,1.8,122302,4,Automatic,Front,4,left,Black,0,6586,0
,TOYOTA,Prius,2007,Hatchback,0,Hybrid,1.5,140000,4,Automatic,Front,4,left,Beige,6,12544,0
639.0,HYUNDAI,Tucson,2014,Jeep,1,Diesel,2.0,120000,4,Automatic,Front,4,left,White,4,30063,0
1885.0,PORSCHE,Panamera,2010,Hatchback,1,Petrol,4.8,196800,8,Tiptronic,4x4,4,left,White,8,72130,0
,HYUNDAI,Veloster,2015,Hatchback,0,Petrol,1.6,17200,4,Tiptronic,Front,2,left,Red,10,21639,0
,TOYOTA,RAV 4 XLE Sport,2013,Jeep,0,Petrol,2.5,120000,4,Tiptronic,Front,4,left,White,0,36692,0
,HONDA,FIT,2002,Hatchback,0,Petrol,1.5,0,4,Automatic,Front,4,right,Silver,4,30,0
1266.0,TOYOTA,Aqua,2014,Hatchback,0,Hybrid,1.5,66000,4,Variator,Front,4,right,Silver,4,12231,0
,TOYOTA,Sienta,2004,Sedan,0,Petrol,1.5,300000,4,Variator,Front,4,right,Beige,4,3136,0
,TOYOTA,Prius,2009,Sedan,1,Hybrid,1.8,230000,4,Variator,Front,4,left,Grey,6,10663,0
447.0,HONDA,FIT,2013,Hatchback,1,Petrol,1.3,110467,4,Automatic,Front,4,left,White,4,5620,0
2148.0,MERCEDES-BENZ,CLS 550,2010,Sedan,1,Petrol,5.5,157000,4,Automatic,Front,4,left,Grey,10,19130,0
1111.0,HONDA,FIT,2012,Hatchback,0,Hybrid,1.3,64000,4,Variator,Front,4,right,Black,4,9408,0
,HYUNDAI,Elantra,2011,Sedan,1,Petrol,1.8,80000,4,Tiptronic,Front,4,left,Grey,6,3,0
640.0,VOLKSWAGEN,Passat,2013,Sedan,1,Diesel,2.0,179200,4,Tiptronic,Front,4,left,White,16,15367,1
